Nombre;Especie;Raza;Sexo;Edad_Años;Peso;Tamaño;Color_Pelaje;Apto_Con;Condicion_Especial;Desparasitado;Esterilizado;Con_Microchip;Vacunado;Adoptado;Caracter_Necesidad;Historia_Breve;Biografia_Final
RAYO;Perro;Pastor Belga Malinois/Mestizo;Macho;2;24;Grande;Marrón Claro, Negro, Pelo Corto;Dueños Experimentados,Entrenamiento de Obediencia,Mucho Ejercicio,Agility;No;Si;Si;Si;Si;No;Malinois,Enérgico,Inteligente,Trabajador,Leal,Requiere Actividad;Rayo fue abandonado atado a un poste de luz. Es un perro de trabajo muy activo que necesita estimulación mental y física constante para evitar la frustración.;Rayo es un perro con sangre de Pastor Belga, lo que se traduce en una inteligencia y una energía inagotables. Necesita un dueño con experiencia que entienda las necesidades de una raza de trabajo y que se comprometa con el entrenamiento avanzado o deportes como el Agility. Es extremadamente leal y protector con su familia, y busca un hogar donde pueda tener una "misión" diaria.
MARTE;Gato;Europeo;Macho;6;4.5;Mediano;Rojo Atigrado (Naranja), Pelo Corto;Casa Interior Exclusiva,Gatos FIV+,Rutinas Tranquilas,Mimos Suaves;Inmunodeficiencia Felina (FIV);Si;Si;Si;Si;No;Naranja,Cariñoso,Ronroneador,FIV,Calmado,Exclusivo Interior;Marte fue rescatado de una colonia y dio positivo en Inmunodeficiencia Felina. A pesar de su condición, es un gato sano que solo necesita vivir en un ambiente controlado.;Marte es un gato naranja de personalidad dulce y un gran corazón. Es positivo en Inmunodeficiencia Felina (FIV), por lo que necesita un hogar de interior exclusivo donde no tenga contacto con gatos sanos, o solo conviva con otros gatos FIV+. Es un compañero muy tranquilo, adora las siestas al sol y es experto en ronroneos.
CHIQUITO;Perro;Yorkshire Terrier;Macho;4;3.5;Pequeño;Negro, Gris, Pelo Largo;Mimos Constantes,Casa Tranquila,Dueños Dedicados,Poca Actividad;No;Si;Si;Si;Si;No;Yorkie,Faldero,Mimoso,Territorial (Inicialmente),Tranquilo,Compañía;Chiquito fue rescatado de una familia que lo tenía en el patio y nunca le ofreció la atención que requiere un perro faldero. Al principio es territorial, pero se derrite con el afecto.;Chiquito es un pequeño gran compañero, un perrito faldero que solo quiere estar acurrucado a tu lado. Con el encanto del Yorkshire Terrier, es leal y muy cariñoso con su gente, aunque necesitará una presentación suave a desconocidos, ya que puede ser territorial al principio. Busca un hogar tranquilo, sin demasiado ajetreo, donde el cepillado de su precioso pelo largo sea parte de la rutina diaria.
NINJA;Gato;Europeo;Hembra;0;2.0;Pequeño;Negro, Pelo Corto;Adopción con Hermano/a,Juegos Interactivos,Casa Interior,Redes de Seguridad;No;Si;No;No;Si;No;Negra,Cachorra,Juguetona,Curiosa,Inquieta,Rápida;Ninja fue rescatada junto a sus hermanos de un contenedor. Es una cachorra muy activa que, como todos los cachorros, necesita la compañía de otro gato joven para jugar y aprender.;Ninja es una pequeña pantera negra, de solo 5 meses, que está descubriendo el mundo a gran velocidad. Es pura curiosidad y juego. Adora correr, saltar y "cazar" juguetes. Para su desarrollo social y nivel de actividad, debe ser adoptada junto a su hermano o con otro gato joven ya residente en casa. Necesita protecciones en ventanas y balcones y muchas sesiones de juego para gastar energía.
BRUNO;Perro;Labrador;Macho;5;28;Grande;Negro, Pelo Corto;Familia con Experiencia,Paseos Largos,Mimos,Obediencia Básica;No;Si;Si;Si;Si;No;Negro,Leal,Equilibrado,Guardián,Potente,Cariñoso;Bruno fue encontrado vagando solo en una zona de campo, muy desorientado. Es un perro noble y tranquilo, aunque tiene una apariencia fuerte y protectora.;Bruno es un perro negro de gran tamaño y corazón, con la nobleza típica de la mezcla de Labrador. Es un compañero muy equilibrado, ideal para una familia que disfrute de paseos largos y de la compañía tranquila en casa. Aunque es bondadoso, su tamaño y fuerza requieren un dueño que sepa manejarlo con firmeza y cariño. Es un guardián silencioso y un amigo leal esperando encontrar su sofá definitivo.
MICHIKO;Gato;Siamés;Hembra;9;3.8;Mediano;Point (Seal), Pelo Corto;Casa Interior,Rutina Estable,Mimos Moderados,Hogar Silencioso;Hipertiroidismo;Si;Si;Si;Si;No;Siamés,Vocal,Independiente,Mayor,Tranquila,Requiere Medicación;Michiko fue entregada debido a que su familia no podía costear el tratamiento continuo para su hipertiroidismo. Es una gata siamesa muy vocal y cariñosa a su manera.;Michiko es una gata con la elegancia del Siamés, de color "Seal Point", y una personalidad muy definida. A sus 9 años, padece de Hipertiroidismo, una condición que se controla perfectamente con medicación diaria. Es muy vocal cuando quiere atención y es cariñosa, aunque valora mucho su espacio. Busca un hogar tranquilo, de interior, con un dueño comprometido con su rutina médica.
KAISER;Perro;Pastor Alemán;Macho;3;30;Grande;Negro, Fuego (Tan), Pelo Corto;Dueños Muy Experimentados,Sin Niños,Sin Primerizos,Trabajo de Confianza,Socialización Controlada;Reactividad a Perros Desconocidos;Si;Si;Si;Si;No;Pastor,Protector,Fuerte,Dominante,Reactivo,Requiere Liderazgo;Kaiser fue rescatado de una situación de maltrato donde fue utilizado como perro guardián. Su falta de socialización temprana lo hace reactivo a estímulos externos, especialmente a otros perros en la calle.;Kaiser es un perro noble y poderoso, con la inteligencia del Pastor Alemán, que requiere un manejo experto. Debido a su pasado, tiene reactividad a perros desconocidos y necesita un dueño que sepa trabajar en su confianza y liderazgo sin dominancia. No es apto para primerizos ni para hogares con niños. Para el humano adecuado, es un compañero extremadamente leal y protector, pero exige un compromiso total con su educación continua.
TOBY;Perro;Jack Russell Terrier;Macho;0;5.0;Pequeño;Blanco, Marrón, Pelo Corto;Entrenamiento de Socialización,Mucho Juego,Sin Gatos,Jardín Vallado;No;Si;No;No;Si;No;Terrier,Cazador,Inquieto,Juguetón,Inteligente,Enérgico;Toby fue rescatado de una camada no deseada en una granja. Es un cachorro con mucha energía y potencial, pero necesita una socialización constante para canalizar su instinto Terrier.;Toby es un torbellino de felicidad con una mente increíblemente rápida, típico de su herencia Terrier. Necesita un dueño que disfrute del juego y que se comprometa firmemente con su entrenamiento de obediencia, ya que su curiosidad y su alto nivel de energía requieren límites y mucha estimulación mental. Es ideal para una familia activa que le ofrezca un jardín seguro y muchas aventuras diarias.
WENDY;Perro;Podenco;Hembra;6;12;Mediano;Atigrado, Pelo Corto;Familia Tranquila,Paseos con Correa,Juegos de Olfato,Perros Tranquilos;Leishmaniasis Controlada;Si;Si;Si;Si;No;Podenca,Tímida,Atigrada,Sensible,Activa,Leishmaniasis;Wendy fue rescatada de un cazador que ya no la quería. Llegó muy asustada y con Leishmaniasis, pero se ha recuperado bien y su enfermedad está controlada con medicación.;Wendy es una perra muy sensible que necesita tiempo para confiar, pero una vez que lo hace, es extremadamente cariñosa. Padece Leishmaniasis Controlada, lo que significa que necesita medicación diaria y controles veterinarios, pero esto no le impide disfrutar de la vida. Es activa y adora correr en un espacio seguro. Es ideal para un dueño paciente, que sepa valorar su calma y su lealtad.
CYRUS;Gato;Maine Coon;Macho;4;6.8;Grande;Atigrado Gris, Blanco, Pelo Largo;Casa Interior,Juegos de Inteligencia,Cepillado Diario,Dueños con Experiencia;Síndrome de Pica;Si;Si;Si;Si;No;Grande,Pelo Largo,Tímido,Juguetón,Pica,Requiere Supervisión;Cyrus fue abandonado en una caja y, debido a un posible estrés o aburrimiento crónico, ha desarrollado el Síndrome de Pica, lo que le lleva a intentar ingerir materiales no comestibles.;Cyrus es un gato de gran tamaño y un pelaje impresionante que requiere dedicación, incluyendo cepillado diario para evitar nudos. Es juguetón e inteligente, pero su principal desafío es el Síndrome de Pica, por lo que su hogar debe estar libre de objetos peligrosos (plásticos, lanas, etc.) y necesitará juguetes de enriquecimiento mental constante. Busca un dueño paciente que pueda brindarle un ambiente de interior seguro y estimulante.
HÉRCULES;Perro;Mastín;Macho;11;55;Gigante;Atigrado Gris, Pelo Corto;Hogar Sin Escaleras,Mimos Constantes,Jardín Seguro,Paseos Cortos;Displasia de Cadera Severa;Si;Si;Si;Si;No;Senior,Gigante,Tranquilo,Guardián,Displásico,Noble,Apacible;Hércules fue entregado por su familia debido a que su avanzada edad y tamaño le impedían subir y bajar escaleras en su nuevo piso. Es un gigante muy noble y tranquilo.;Hércules es un gigante de corazón noble y de temperamento muy apacible. A pesar de su tamaño, necesita un hogar tranquilo y sin muchas escaleras, ya que padece Displasia de Cadera Severa y se mueve lentamente. Es un perro que adora la compañía y es el compañero perfecto para quienes buscan una presencia majestuosa, tranquila y un amigo leal para los últimos años de su vida.
FÉNIX;Gato;Europeo;Macho;1;4.1;Mediano;Atigrado Gris, Pelo Corto;Casa Interior Exclusiva,Dueños Experimentados con Gatos Tímidos,Paciencia,Sin Perros;Timidez Extrema;Si;Si;Si;Si;No;Joven,Tímido,Escondedizo,Necesita Paciencia,Observador,Juego Nocutrno;Fénix fue rescatado de la calle siendo muy joven y nunca se ha acostumbrado del todo a la presencia humana. Necesitará un dueño con mucha paciencia que le permita adaptarse a su propio ritmo.;Fénix es un gato joven con una belleza salvaje, que representa un verdadero desafío de paciencia. Sufre de Timidez Extrema, por lo que al principio pasará mucho tiempo escondido y solo saldrá a jugar o comer cuando no haya nadie. Es ideal para un hogar tranquilo y silencioso, con dueños que ya hayan trabajado con gatos asustadizos y que entiendan que ganarse su confianza puede llevar meses, pero la recompensa de su cariño es inmensa.
PIXEL;Gato;Europeo;Hembra;8;3.5;Mediano;Tricolor (Calicó), Pelo Corto;Dieta Renal,Hogar Tranquilo,Casa Interior,Rutina Médica;Insuficiencia Renal Crónica (IRC);Si;Si;Si;Si;No;Senior,Calicó,Dulce,Cariñosa,IRC,Requiere Medicación,Baja Energía;Pixel fue abandonada en la calle a pesar de su edad. Los análisis revelaron que padece Insuficiencia Renal Crónica. Es muy dócil y se ha adaptado bien a la dieta.;Pixel es una gata dulce y mansa que adora la calma de la vida interior. Padece Insuficiencia Renal Crónica (IRC), por lo que necesita un compromiso total con su dieta renal específica y medicación de soporte. Es el compañero perfecto para quienes buscan una gata cariñosa y tranquila, con la calidez de un alma senior. Su amor es incondicional para quien decida darle la estabilidad que necesita en esta etapa.
